,audiAcc,audiChange,audiCnt,audiInten,movieCd,movieNm,openDt,rank,rankInten,rankOldAndNew,rnum,salesAcc,salesAmt,salesChange,salesInten,salesShare,scrnCnt,showCnt,targetDt
101,7604167,-6.4,50828,-3465,20196309,스파이더맨: 파 프롬 홈,2019-07-02,3,0,OLD,3,65485956450,409322720,-6.7,-29371470,14.6,833,3172,20190723
102,3312646,12.5,12846,1429,20184047,토이 스토리 4,2019-06-20,4,0,OLD,4,28051906550,101538440,10.9,9959860,3.6,352,666,20190723
103,10017904,15.6,8675,1172,20183782,기생충,2019-05-30,5,0,OLD,5,85311507045,69271400,13.7,8325700,2.5,212,384,20190723
104,5330,100,5322,5322,20183844,마이펫의 이중생활 2,2019-07-31,6,0,NEW,6,45455000,45383000,100,45383000,1.6,26,26,20190723
105,52388,0.6,4607,28,20192222,사일런스,2019-07-17,7,0,OLD,7,451722302,37489640,0.1,51860,1.3,395,691,20190723
106,164371,-4.6,3406,-166,20185986,진범,2019-07-10,8,0,OLD,8,1398757500,26871600,-5.6,-1607200,1.0,189,366,20190723
107,282353,16.4,2337,329,20185353,기방도령,2019-07-10,9,1,OLD,9,2294932830,17206800,21.9,3094210,0.6,168,254,20190723
108,129621,41.2,1476,431,20191601,극장판 엉덩이 탐정: 화려한 사건 수첩,2019-07-11,10,4,OLD,10,1028608580,10569480,36.9,2848780,0.4,117,133,20190723
109,11018676,-61.9,75168,-122171,20183867,알라딘,2019-05-23,2,0,OLD,2,94013592969,605887810,-64.8,-1113980980,20.9,876,3142,20190722
110,7553339,-66.6,54293,-108030,20196309,스파이더맨: 파 프롬 홈,2019-07-02,3,0,OLD,3,65076633730,438694190,-68.8,-966399950,15.2,834,3166,20190722
111,3299800,-64.5,11417,-20710,20184047,토이 스토리 4,2019-06-20,4,0,OLD,4,27950368110,91578580,-66.3,-180017260,3.2,358,663,20190722
112,10009229,-35.7,7503,-4166,20183782,기생충,2019-05-30,5,0,OLD,5,85242235645,60945700,-32,-28682090,2.1,205,372,20190722
113,19457,4478.8,5174,5061,20182490,나랏말싸미,2019-07-24,6,32,OLD,6,155515000,38240000,2976.4,36997000,1.3,21,21,20190722
114,47781,-36.1,4579,-2586,20192222,사일런스,2019-07-17,7,1,OLD,7,414232662,37437780,-42.2,-27365610,1.3,380,670,20190722
115,160965,-44.1,3572,-2817,20185986,진범,2019-07-10,8,1,OLD,8,1371885900,28478800,-49.6,-28003100,1.0,192,369,20190722
116,2601,100,2179,2179,20180442,사자,2019-07-31,9,0,NEW,9,18751000,15477000,100,15477000,0.5,7,12,20190722
117,280016,-48.4,2008,-1886,20185353,기방도령,2019-07-10,10,1,OLD,10,2277726030,14112590,-53.8,-16413090,0.5,154,246,20190722
118,10943508,-3.8,197339,-7780,20183867,알라딘,2019-05-23,2,0,OLD,2,93407705159,1719868790,-4.9,-89493520,16.8,958,2932,20190721
119,7499046,-13.9,162323,-26107,20196309,스파이더맨: 파 프롬 홈,2019-07-02,3,0,OLD,3,64637939540,1405094140,-14.6,-239407430,13.7,869,3047,20190721
120,3288383,12.2,32127,3502,20184047,토이 스토리 4,2019-06-20,4,0,OLD,4,27858789530,271595840,11.8,28728300,2.7,409,640,20190721
121,10001726,-0.8,11669,-97,20183782,기생충,2019-05-30,5,0,OLD,5,85181289945,89627790,-1.5,-1331300,0.9,170,243,20190721
122,127100,21.5,9290,1641,20191601,극장판 엉덩이 탐정: 화려한 사건 수첩,2019-07-11,6,2,OLD,6,1010318400,73168580,21,12707580,0.7,203,244,20190721
123,38403,-0.8,9119,-74,20190002,롱 샷,2019-07-24,7,-1,OLD,7,344880720,85484240,-0.5,-438240,0.8,254,359,20190721
124,43202,-20.3,7165,-1828,20192222,사일런스,2019-07-17,8,-1,OLD,8,376794882,64803390,-21.2,-17485562,0.6,389,618,20190721
125,157393,-3,6389,-198,20185986,진범,2019-07-10,9,0,OLD,9,1343407100,56481900,-4.4,-2628300,0.6,170,302,20190721
126,272208,45.4,4910,1534,20190273,천로역정: 천국을 찾아서,2019-06-13,10,2,OLD,10,2041940670,35778600,47.4,11512260,0.4,60,80,20190721
127,10746169,114,205119,109264,20183867,알라딘,2019-05-23,2,1,OLD,2,91687836369,1809362310,112,955817250,16.2,901,2863,20190720
128,7336723,87.7,188430,88042,20196309,스파이더맨: 파 프롬 홈,2019-07-02,3,-1,OLD,3,63232845400,1644501570,86.8,764369020,14.7,866,3108,20190720
129,3256256,104.3,28625,14614,20184047,토이 스토리 4,2019-06-20,4,0,OLD,4,27587193690,242867540,101.3,122209190,2.2,401,639,20190720
130,9990057,22,11766,2125,20183782,기생충,2019-05-30,5,0,OLD,5,85091662155,90959090,28.6,20221930,0.8,154,227,20190720
131,29284,100,9193,9193,20190002,롱 샷,2019-07-24,6,0,NEW,6,259396480,85922480,100,85922480,0.8,264,368,20190720
132,36037,-2.2,8993,-201,20192222,사일런스,2019-07-17,7,-1,OLD,7,311991492,82288952,-0.2,-124508,0.7,412,655,20190720
